iteration,true_shared,false_shared,true_exposed,false_exposed
0,20,20,30,30
1,139,131,195,218
2,1699,925,3918,2644
3,2931,1923,7203,5613
4,1797,1528,4124,4145
5,786,713,1997,2022
6,117,319,300,876
7,5,77,10,203
8,0,14,0,30
9,0,0,0,0
10,0,0,0,0
