iteration,true_shared,false_shared,true_exposed,false_exposed
0,26,18,30,30
1,175,133,249,236
2,1946,876,3465,2685
3,5303,2452,12877,6479
4,3833,2891,9687,7225
5,820,1348,2065,3529
6,54,303,100,667
7,2,42,6,90
8,0,7,0,15
9,0,0,0,0
10,0,0,0,0
