iteration,true_shared,false_shared,true_exposed,false_exposed
0,25,19,30,30
1,228,206,320,368
2,1726,1287,4651,4809
3,2114,1198,6214,3551
4,817,490,2184,1320
5,140,163,398,495
6,15,36,33,64
7,1,3,1,11
8,0,1,0,1
9,0,0,0,2
10,0,0,0,0
