iteration,true_shared,false_shared,true_exposed,false_exposed
0,22,15,30,30
1,171,65,232,112
2,1717,607,3307,1139
3,4896,2328,11512,5333
4,4512,3522,11155,8782
5,1426,2397,3603,6555
6,111,746,245,2056
7,8,146,14,321
8,0,23,0,41
9,0,4,0,7
10,0,1,0,1
11,0,0,0,0
12,0,0,0,0
