iteration,true_shared,false_shared,true_exposed,false_exposed
0,24,18,30,30
1,236,110,349,184
2,2235,802,5414,1974
3,1288,810,3505,2415
4,215,689,464,2708
5,45,301,131,844
6,6,103,9,287
7,1,25,1,60
8,0,8,0,11
9,0,2,0,2
10,0,0,0,0
11,0,0,0,0
