iteration,sender,receiver,news_id,news_party,news_veracity
0,bot23__0,bot7__4,460,N,False
0,bot23__0,reel7__2,460,N,False
0,bot23__1,bot13__6,461,N,False
0,bot23__2,86,462,N,False
0,bot23__2,bot17__8,462,N,False
0,bot23__2,290,462,N,False
0,bot23__3,77,463,N,False
0,bot23__3,reel21__9,463,N,False
0,bot23__3,reel4__1,463,N,False
0,bot23__4,286,464,N,False
0,bot23__4,reel18__3,464,N,False
0,bot23__7,97,467,N,False
0,bot23__7,bot12__9,467,N,False
0,bot23__7,bot1__6,467,N,False
0,bot23__8,273,468,N,False
0,bot23__8,bot8__5,468,N,False
0,bot23__9,reel4__5,469,N,False
0,reel23__0,reel17__3,470,N,True
0,reel23__0,159,470,N,True
0,reel23__0,193,470,N,True
0,reel23__1,184,471,N,True
0,reel23__1,30,471,N,True
0,reel23__1,315,471,N,True
0,reel23__2,reel12__0,472,N,True
0,reel23__2,reel22__3,472,N,True
0,reel23__3,154,473,N,True
0,reel23__5,131,475,N,True
0,reel23__5,reel0__8,475,N,True
0,reel23__6,315,476,N,True
0,reel23__6,119,476,N,True
0,reel23__7,reel16__7,477,N,True
0,reel23__7,81,477,N,True
0,reel23__8,249,478,N,True
0,reel23__8,163,478,N,True
0,reel23__8,reel13__9,478,N,True
0,reel23__9,334,479,N,True
1,bot7__4,112,460,N,False
1,bot7__4,bot5__8,460,N,False
1,reel7__2,reel9__5,460,N,False
1,reel7__2,reel9__7,460,N,False
1,bot13__6,231,461,N,False
1,bot17__8,95,462,N,False
1,bot17__8,323,462,N,False
1,290,323,462,N,False
1,290,25,462,N,False
1,290,322,462,N,False
1,290,176,462,N,False
1,290,56,462,N,False
1,290,342,462,N,False
1,290,271,462,N,False
1,290,277,462,N,False
1,290,0,462,N,False
1,86,0,462,N,False
1,290,bot0__3,462,N,False
1,86,278,462,N,False
1,86,227,462,N,False
1,86,177,462,N,False
1,86,reel12__5,462,N,False
1,reel21__9,311,463,N,False
1,reel21__9,42,463,N,False
1,77,40,463,N,False
1,77,117,463,N,False
1,77,0,463,N,False
1,77,reel0__2,463,N,False
1,77,reel17__6,463,N,False
1,reel4__1,83,463,N,False
1,reel4__1,93,463,N,False
1,reel4__1,bot6__2,463,N,False
1,286,81,464,N,False
1,reel18__3,336,464,N,False
1,reel18__3,226,464,N,False
1,reel18__3,reel6__5,464,N,False
1,bot12__9,237,467,N,False
1,bot12__9,bot11__5,467,N,False
1,97,230,467,N,False
1,97,182,467,N,False
1,97,0,467,N,False
1,bot8__5,277,468,N,False
1,bot8__5,bot5__6,468,N,False
1,bot8__5,bot16__1,468,N,False
1,273,328,468,N,False
1,273,218,468,N,False
1,273,181,468,N,False
1,273,4,468,N,False
1,273,306,468,N,False
1,273,0,468,N,False
1,273,reel17__0,468,N,False
1,reel4__5,196,469,N,False
1,reel4__5,82,469,N,False
1,159,184,470,N,True
1,159,139,470,N,True
1,159,345,470,N,True
1,159,172,470,N,True
1,159,127,470,N,True
1,159,277,470,N,True
1,159,21,470,N,True
1,159,197,470,N,True
1,159,0,470,N,True
1,193,0,470,N,True
1,159,reel1__6,470,N,True
1,193,259,470,N,True
1,193,reel5__7,470,N,True
1,reel17__3,reel13__4,470,N,True
1,315,288,471,N,True
1,315,345,471,N,True
1,315,1,471,N,True
1,315,231,471,N,True
1,30,303,471,N,True
1,315,303,471,N,True
1,315,80,471,N,True
1,30,213,471,N,True
1,315,213,471,N,True
1,30,188,471,N,True
1,315,188,471,N,True
1,315,249,471,N,True
1,315,170,471,N,True
1,315,257,471,N,True
1,315,199,471,N,True
1,315,291,471,N,True
1,315,133,471,N,True
1,315,94,471,N,True
1,315,246,471,N,True
1,30,322,471,N,True
1,315,322,471,N,True
1,315,323,471,N,True
1,315,98,471,N,True
1,315,128,471,N,True
1,315,121,471,N,True
1,315,169,471,N,True
1,315,280,471,N,True
1,315,302,471,N,True
1,315,324,471,N,True
1,30,56,471,N,True
1,315,56,471,N,True
1,315,223,471,N,True
1,315,105,471,N,True
1,315,136,471,N,True
1,30,271,471,N,True
1,315,271,471,N,True
1,315,339,471,N,True
1,315,277,471,N,True
1,315,67,471,N,True
1,315,53,471,N,True
1,315,142,471,N,True
1,30,224,471,N,True
1,315,224,471,N,True
1,315,21,471,N,True
1,184,21,471,N,True
1,315,7,471,N,True
1,30,0,471,N,True
1,315,0,471,N,True
1,184,0,471,N,True
1,315,bot16__0,471,N,True
1,30,200,471,N,True
1,30,73,471,N,True
1,30,331,471,N,True
1,184,159,471,N,True
1,184,346,471,N,True
1,184,135,471,N,True
1,184,108,471,N,True
1,184,57,471,N,True
1,184,127,471,N,True
1,184,197,471,N,True
1,184,251,471,N,True
1,184,bot4__7,471,N,True
1,reel22__3,reel3__1,472,N,True
1,reel22__3,146,472,N,True
1,reel22__3,295,472,N,True
1,reel12__0,reel8__1,472,N,True
1,reel12__0,reel0__5,472,N,True
1,154,219,473,N,True
1,154,bot9__2,473,N,True
1,154,reel18__2,473,N,True
1,reel0__8,42,475,N,True
1,reel0__8,202,475,N,True
1,reel0__8,260,475,N,True
1,reel0__8,reel4__2,475,N,True
1,reel0__8,reel4__7,475,N,True
1,131,99,475,N,True
1,131,143,475,N,True
1,131,177,475,N,True
1,131,227,475,N,True
