iteration,true_shared,false_shared,true_exposed,false_exposed
0,22,12,30,30
1,139,69,190,127
2,1819,553,3461,1498
3,5286,1456,12325,3622
4,4015,2009,9905,5401
5,675,1588,1834,4061
6,37,674,58,1730
7,1,102,2,272
8,0,12,0,21
9,0,0,0,1
10,0,0,0,0
