iteration,true_shared,false_shared,true_exposed,false_exposed
0,24,19,30,30
1,269,82,364,143
2,2782,491,5984,1312
3,5282,1775,11825,4922
4,1811,2700,4831,7623
5,545,1521,1375,4125
6,486,673,1138,1715
7,97,237,266,614
8,6,51,15,106
9,0,6,0,13
10,0,2,0,2
11,0,0,0,0
12,0,0,0,0
