iteration,true_shared,false_shared,true_exposed,false_exposed
0,23,16,30,30
1,235,68,331,143
2,2101,212,5666,754
3,2766,756,7257,1704
4,986,1314,2533,4600
5,173,1111,406,3192
6,14,558,22,1557
7,1,144,3,325
8,0,26,0,58
9,0,4,0,11
10,0,0,0,1
11,0,0,0,0
