iteration,true_shared,false_shared,true_exposed,false_exposed
0,22,19,30,30
1,239,75,318,136
2,2145,398,6108,871
3,4456,1365,10429,3502
4,2971,2421,6979,6705
5,555,1932,1432,5081
6,18,667,32,1819
7,1,126,1,272
8,0,13,0,27
9,0,3,0,7
10,0,0,0,1
11,0,0,0,0
