iteration,true_shared,false_shared,true_exposed,false_exposed
0,22,18,30,30
1,134,104,187,176
2,1690,1315,3259,3984
3,2355,1403,6614,4564
4,956,683,2469,1639
5,145,322,403,912
6,7,69,14,166
7,0,9,0,24
8,0,1,0,2
9,0,0,0,0
10,0,0,0,0
