iteration,true_shared,false_shared,true_exposed,false_exposed
0,22,15,30,30
1,155,112,201,178
2,1982,1120,4046,2623
3,3746,1922,10002,5562
4,1620,1454,4134,4284
5,247,907,686,2859
6,21,369,42,1035
7,2,76,2,183
8,0,16,0,28
9,0,5,0,7
10,0,0,0,0
11,0,0,0,0
