iteration,true_shared,false_shared,true_exposed,false_exposed
0,23,14,30,30
1,381,79,533,134
2,2125,694,3889,2030
3,5019,2079,11098,5372
4,5116,2749,12746,7591
5,2469,2050,5968,5163
6,528,668,1335,1686
7,29,99,54,221
8,1,12,1,24
9,0,1,0,2
10,0,0,0,0
11,0,0,0,0
