iteration,true_shared,false_shared,true_exposed,false_exposed
0,20,15,30,30
1,105,61,136,94
2,1751,453,2650,866
3,6608,1873,14196,4736
4,6759,3515,15773,8841
5,2033,3197,5276,8037
6,160,1757,329,4608
7,7,564,9,1609
8,0,109,0,262
9,0,13,0,29
10,0,3,0,5
11,0,0,0,0
12,0,0,0,0
