iteration,true_shared,false_shared,true_exposed,false_exposed
0,18,20,30,30
1,132,97,173,143
2,1542,614,2960,1680
3,4340,2349,10631,6577
4,3902,3108,9690,7918
5,1304,1408,3259,3816
6,196,474,451,1154
7,15,140,31,340
8,1,27,3,48
9,0,4,0,6
10,0,1,0,1
11,0,0,0,0
12,0,0,0,0
