iteration,true_shared,false_shared,true_exposed,false_exposed
0,19,7,30,30
1,130,41,207,166
2,2038,295,5485,1140
3,47,41,563,186
4,24,39,42,236
5,6,27,19,168
6,19,2,35,9
7,16,2,53,3
8,5,3,10,12
9,1,0,2,0
10,0,0,0,0
11,0,0,0,0
