iteration,true_shared,false_shared,true_exposed,false_exposed
0,19,11,30,30
1,194,18,331,56
2,1809,100,4560,418
3,2369,396,5806,1428
4,1002,524,2494,1894
5,146,344,326,1280
6,5,163,13,511
7,1,72,1,243
8,0,21,0,96
9,0,8,0,19
10,0,3,0,6
11,0,1,0,3
12,0,0,0,1
13,0,0,0,0
