iteration,true_shared,false_shared,true_exposed,false_exposed
0,20,9,30,30
1,128,19,182,60
2,1885,325,4054,890
3,3632,608,9440,2307
4,1583,512,3994,1919
5,184,517,455,1813
6,10,459,20,1514
7,2,300,2,1088
8,0,194,0,503
9,0,112,0,344
10,0,67,0,184
11,0,32,0,74
12,0,8,0,29
13,0,1,0,3
14,0,1,0,1
15,0,0,0,1
16,0,0,0,0
