iteration,true_shared,false_shared,true_exposed,false_exposed
0,21,10,30,30
1,187,22,279,46
2,1620,126,4138,272
3,3688,911,8401,3712
4,2775,1259,6666,3864
5,675,608,1742,1936
6,58,326,99,884
7,0,255,1,777
8,0,135,0,357
9,0,43,0,138
10,0,16,0,49
11,0,9,0,21
12,0,3,0,12
13,0,0,0,0
14,0,0,0,0
