iteration,true_shared,false_shared,true_exposed,false_exposed
0,19,9,30,30
1,426,55,700,112
2,1426,787,4876,2514
3,441,126,1557,489
4,121,15,244,37
5,99,4,293,10
6,49,3,115,5
7,7,9,12,18
8,6,6,9,40
9,3,16,5,50
10,0,45,1,253
11,0,16,0,81
12,0,7,0,11
13,0,3,0,3
14,0,0,0,0
15,0,0,0,0
