iteration,true_shared,false_shared,true_exposed,false_exposed
0,19,10,30,30
1,122,22,180,53
2,942,191,2225,563
3,1701,292,5733,1312
4,915,159,2375,720
5,303,67,874,241
6,132,34,418,112
7,14,13,31,44
8,4,10,5,20
9,0,3,0,12
10,0,5,0,9
11,0,1,0,5
12,0,1,0,2
13,0,2,0,3
14,0,3,0,3
15,0,1,0,7
16,0,0,0,0
17,0,0,0,0
