iteration,true_shared,false_shared,true_exposed,false_exposed
0,22,9,30,30
1,151,70,201,138
2,2159,701,4581,2344
3,3434,1026,8806,3805
4,1292,685,3288,2557
5,198,278,507,966
6,20,98,31,290
7,1,23,1,70
8,0,3,0,12
9,0,0,0,2
10,0,0,0,0
