iteration,true_shared,false_shared,true_exposed,false_exposed
0,20,14,30,30
1,182,76,301,154
2,1951,728,4873,2305
3,1267,828,3815,2814
4,324,366,705,1292
5,231,138,859,384
6,104,44,326,167
7,21,15,45,39
8,3,4,3,13
9,0,3,0,7
10,0,2,0,2
11,0,1,0,2
12,0,0,0,0
13,0,0,0,0
