iteration,true_shared,false_shared,true_exposed,false_exposed
0,19,6,30,30
1,140,24,220,83
2,1691,410,4453,1413
3,433,108,1600,397
4,178,33,848,137
5,105,13,294,48
6,55,12,110,39
7,40,12,101,43
8,13,4,32,17
9,4,0,8,1
10,0,0,1,0
11,0,0,0,0
