iteration,true_shared,false_shared,true_exposed,false_exposed
0,21,9,30,30
1,117,26,178,65
2,1167,93,2421,234
3,4416,570,10575,2059
4,6013,1216,13647,4254
5,2269,1182,6157,3779
6,219,731,425,2504
7,7,411,19,1447
8,2,224,3,708
9,0,102,0,351
10,0,44,0,121
11,0,21,0,55
12,0,5,0,22
13,0,1,0,5
14,0,0,0,0
15,0,0,0,0
