iteration,true_shared,false_shared,true_exposed,false_exposed
0,19,13,30,30
1,118,71,192,187
2,1644,694,3669,2351
3,2773,800,7007,2942
4,1650,404,3801,1539
5,664,140,1687,462
6,86,66,201,193
7,4,49,6,121
8,0,18,0,73
9,0,5,0,17
10,0,1,0,3
11,0,2,0,2
12,0,0,0,0
13,0,0,0,0
