iteration,true_shared,false_shared,true_exposed,false_exposed
0,25,14,30,30
1,205,115,320,268
2,1572,537,4164,2295
3,1938,535,5714,1956
4,802,284,2153,1217
5,121,199,279,566
6,10,103,19,373
7,2,45,2,137
8,1,15,1,31
9,0,5,0,19
10,0,3,0,6
11,0,0,0,0
12,0,0,0,0
