iteration,true_shared,false_shared,true_exposed,false_exposed
0,19,6,30,30
1,104,39,147,108
2,1443,453,2492,1462
3,4576,720,11008,2208
4,4155,544,10227,1803
5,939,386,2465,1194
6,65,175,113,523
7,6,52,10,104
8,2,11,2,33
9,0,0,0,6
10,0,0,0,0
