iteration,true_shared,false_shared,true_exposed,false_exposed
0,23,15,30,30
1,150,53,231,132
2,1709,426,4201,1317
3,4456,1124,10679,3337
4,3588,1263,9136,4061
5,1773,903,4529,3111
6,592,646,1504,2077
7,102,444,218,1261
8,12,195,19,545
9,0,59,1,148
10,0,15,0,44
11,0,5,0,10
12,0,2,0,6
13,0,1,0,3
14,0,0,0,1
15,0,0,0,0
