iteration,true_shared,false_shared,true_exposed,false_exposed
0,23,16,30,30
1,208,63,296,110
2,2166,663,4842,1606
3,4951,1774,10942,4958
4,3007,1963,7980,5576
5,1110,1286,3089,3716
6,215,479,490,1308
7,18,137,40,284
8,5,27,5,57
9,0,6,0,17
10,0,1,0,3
11,0,0,0,0
12,0,0,0,0
