iteration,true_shared,false_shared,true_exposed,false_exposed
0,24,10,30,30
1,202,32,269,53
2,2125,304,4577,601
3,6350,1439,14442,3876
4,5135,2447,12684,6421
5,1318,1611,3357,4464
6,847,539,1813,1450
7,411,124,1073,312
8,40,18,101,52
9,2,4,3,7
10,0,0,0,1
11,0,0,0,0
