iteration,true_shared,false_shared,true_exposed,false_exposed
0,21,15,30,30
1,175,109,241,208
2,1427,664,3865,2666
3,2731,1082,7206,3266
4,1854,1101,4792,3507
5,726,804,1808,2559
6,204,397,466,1110
7,25,138,49,345
8,1,42,1,93
9,0,5,0,13
10,0,0,0,2
11,0,0,0,0
