iteration,true_shared,false_shared,true_exposed,false_exposed
0,21,17,30,30
1,193,80,259,147
2,1769,650,4519,1826
3,2778,1050,7768,3312
4,1440,1112,3773,3261
5,451,870,1109,2823
6,84,433,221,1176
7,14,136,26,305
8,2,29,2,61
9,2,7,2,16
10,0,0,0,2
11,0,0,0,0
