iteration,true_shared,false_shared,true_exposed,false_exposed
0,22,22,30,30
1,158,77,215,154
2,1878,547,3596,1575
3,5508,1878,12532,5456
4,4160,2652,10422,7756
5,1127,1898,2946,5516
6,567,969,1415,2593
7,129,316,316,835
8,6,77,9,167
9,0,12,1,24
10,0,3,0,4
11,0,0,0,0
12,0,0,0,0
