iteration,sender,receiver,news_id,news_party,news_veracity
0,bot36__0,128,720,N,False
0,bot36__1,bot0__7,721,N,False
0,bot36__1,68,721,N,False
0,bot36__2,reel25__6,722,N,False
0,bot36__2,bot13__6,722,N,False
0,bot36__3,36,723,N,False
0,bot36__4,bot4__6,724,N,False
0,bot36__4,bot33__1,724,N,False
0,bot36__4,142,724,N,False
0,bot36__5,158,725,N,False
0,bot36__5,206,725,N,False
0,bot36__6,reel11__5,726,N,False
0,bot36__7,307,727,N,False
0,bot36__7,168,727,N,False
0,bot36__8,196,728,N,False
0,bot36__9,bot20__8,729,N,False
0,bot36__9,bot11__8,729,N,False
0,reel36__0,reel35__6,730,N,True
0,reel36__1,152,731,N,True
0,reel36__1,reel0__1,731,N,True
0,reel36__2,reel30__0,732,N,True
0,reel36__2,78,732,N,True
0,reel36__2,302,732,N,True
0,reel36__3,reel8__0,733,N,True
0,reel36__5,reel7__0,735,N,True
0,reel36__5,reel34__2,735,N,True
0,reel36__5,reel32__7,735,N,True
0,reel36__7,122,737,N,True
0,reel36__7,113,737,N,True
0,reel36__7,40,737,N,True
0,reel36__8,193,738,N,True
0,reel36__8,reel33__7,738,N,True
0,reel36__9,147,739,N,True
0,reel36__9,reel18__6,739,N,True
1,128,9,720,N,False
1,128,56,720,N,False
1,128,104,720,N,False
1,128,322,720,N,False
1,128,313,720,N,False
1,128,211,720,N,False
1,128,271,720,N,False
1,128,199,720,N,False
1,128,315,720,N,False
1,128,119,720,N,False
1,128,67,720,N,False
1,128,248,720,N,False
1,128,169,720,N,False
1,128,334,720,N,False
1,128,reel4__6,720,N,False
1,128,reel8__9,720,N,False
1,bot0__7,318,721,N,False
1,bot0__7,bot23__8,721,N,False
1,68,175,721,N,False
1,68,227,721,N,False
1,68,143,721,N,False
1,68,263,721,N,False
1,68,296,721,N,False
1,68,bot4__7,721,N,False
1,68,bot10__7,721,N,False
1,68,reel10__4,721,N,False
1,reel25__6,reel19__8,722,N,False
1,reel25__6,reel5__9,722,N,False
1,36,135,723,N,False
1,36,309,723,N,False
1,36,320,723,N,False
1,36,284,723,N,False
1,36,197,723,N,False
1,36,108,723,N,False
1,36,281,723,N,False
1,36,bot3__4,723,N,False
1,36,reel30__4,723,N,False
1,142,236,724,N,False
1,142,161,724,N,False
1,142,66,724,N,False
1,142,308,724,N,False
1,142,345,724,N,False
1,142,323,724,N,False
1,142,67,724,N,False
1,142,10,724,N,False
1,142,322,724,N,False
1,142,113,724,N,False
1,142,158,724,N,False
1,142,3,724,N,False
1,142,122,724,N,False
1,142,271,724,N,False
1,142,62,724,N,False
1,142,9,724,N,False
1,bot33__1,9,724,N,False
1,142,280,724,N,False
1,142,134,724,N,False
1,142,56,724,N,False
1,142,186,724,N,False
1,142,45,724,N,False
1,142,169,724,N,False
1,142,297,724,N,False
1,142,188,724,N,False
1,142,200,724,N,False
1,142,0,724,N,False
1,142,reel16__6,724,N,False
1,142,bot32__8,724,N,False
1,bot33__1,reel27__8,724,N,False
1,bot4__6,bot2__7,724,N,False
1,bot4__6,bot3__0,724,N,False
1,bot4__6,266,724,N,False
1,206,260,725,N,False
1,158,317,725,N,False
1,158,304,725,N,False
1,158,40,725,N,False
1,158,25,725,N,False
1,158,232,725,N,False
1,158,22,725,N,False
1,158,322,725,N,False
1,158,291,725,N,False
1,158,113,725,N,False
1,158,325,725,N,False
1,158,168,725,N,False
1,158,248,725,N,False
1,158,5,725,N,False
1,158,60,725,N,False
1,158,reel20__3,725,N,False
1,reel11__5,221,726,N,False
1,reel11__5,175,726,N,False
1,reel11__5,reel22__6,726,N,False
1,reel11__5,bot31__6,726,N,False
1,168,339,727,N,False
1,168,347,727,N,False
1,168,129,727,N,False
1,168,158,727,N,False
1,168,277,727,N,False
1,168,reel5__7,727,N,False
1,168,reel5__8,727,N,False
1,168,bot13__7,727,N,False
1,307,reel10__4,727,N,False
1,307,bot16__2,727,N,False
1,307,reel19__3,727,N,False
1,196,194,728,N,False
1,196,53,728,N,False
1,196,266,728,N,False
1,196,285,728,N,False
1,196,92,728,N,False
1,196,0,728,N,False
1,196,reel9__1,728,N,False
1,196,bot15__1,728,N,False
1,196,bot20__1,728,N,False
1,196,reel29__5,728,N,False
1,196,bot32__7,728,N,False
1,bot11__8,reel5__5,729,N,False
1,bot11__8,bot20__7,729,N,False
1,bot20__8,reel4__8,729,N,False
1,bot20__8,166,729,N,False
1,reel35__6,51,730,N,True
1,reel35__6,14,730,N,True
1,reel35__6,31,730,N,True
1,reel0__1,42,731,N,True
1,reel0__1,302,731,N,True
1,reel0__1,39,731,N,True
1,reel0__1,bot2__0,731,N,True
1,reel0__1,reel2__8,731,N,True
1,reel0__1,reel27__1,731,N,True
1,152,4,731,N,True
1,152,339,731,N,True
1,152,0,731,N,True
1,152,bot15__5,731,N,True
1,152,reel26__6,731,N,True
1,302,266,732,N,True
1,302,254,732,N,True
1,302,194,732,N,True
1,302,187,732,N,True
1,302,101,732,N,True
1,302,315,732,N,True
1,302,346,732,N,True
1,302,242,732,N,True
1,302,204,732,N,True
1,302,299,732,N,True
1,302,92,732,N,True
1,302,48,732,N,True
1,302,180,732,N,True
1,302,0,732,N,True
1,78,0,732,N,True
1,302,reel0__1,732,N,True
1,302,reel19__5,732,N,True
1,302,reel28__5,732,N,True
1,reel30__0,reel17__4,732,N,True
1,78,273,732,N,True
1,78,218,732,N,True
1,78,275,732,N,True
