iteration,true_shared,false_shared,true_exposed,false_exposed
0,20,13,30,30
1,99,44,136,84
2,1650,326,2439,729
3,6296,1287,13320,3649
4,6803,2331,15879,6592
5,2008,1965,5304,5419
6,129,981,284,2733
7,7,351,8,909
8,1,256,1,650
9,0,386,0,1118
10,0,227,0,719
11,0,73,0,180
12,0,19,0,45
13,0,6,0,13
14,0,1,0,2
15,0,1,0,1
16,0,0,0,1
17,0,0,0,0
