iteration,true_shared,false_shared,true_exposed,false_exposed
0,22,13,30,30
1,122,72,168,188
2,1516,698,2780,2002
3,1956,646,5500,2057
4,786,226,2054,586
5,110,63,326,152
6,13,25,22,63
7,0,8,0,13
8,0,2,0,5
9,0,0,0,1
10,0,0,0,0
