iteration,true_shared,false_shared,true_exposed,false_exposed
0,20,21,30,30
1,109,76,152,172
2,1031,705,2175,1703
3,3635,2031,8286,6188
4,4792,2595,11483,7401
5,2196,1648,5878,4623
6,272,585,617,1567
7,19,175,25,396
8,2,34,2,66
9,2,8,2,12
10,0,0,0,0
11,0,0,0,0
