iteration,sender,receiver,news_id,news_party,news_veracity
0,bot38__1,bot6__6,761,N,False
0,bot38__2,bot3__0,762,N,False
0,bot38__3,bot31__7,763,N,False
0,bot38__4,bot28__9,764,N,False
0,bot38__4,reel23__6,764,N,False
0,bot38__4,238,764,N,False
0,bot38__5,bot22__1,765,N,False
0,bot38__5,reel35__0,765,N,False
0,bot38__6,bot25__5,766,N,False
0,bot38__6,bot12__1,766,N,False
0,bot38__8,reel9__6,768,N,False
0,bot38__8,reel27__8,768,N,False
0,bot38__9,reel28__1,769,N,False
0,bot38__9,263,769,N,False
0,bot38__9,reel30__0,769,N,False
0,reel38__0,247,770,N,True
0,reel38__1,reel30__6,771,N,True
0,reel38__1,reel34__8,771,N,True
0,reel38__1,reel9__6,771,N,True
0,reel38__2,185,772,N,True
0,reel38__2,reel8__0,772,N,True
0,reel38__3,reel29__9,773,N,True
0,reel38__3,27,773,N,True
0,reel38__4,reel20__3,774,N,True
0,reel38__5,reel3__7,775,N,True
0,reel38__5,132,775,N,True
0,reel38__6,307,776,N,True
0,reel38__7,291,777,N,True
0,reel38__7,reel34__4,777,N,True
0,reel38__7,128,777,N,True
0,reel38__8,240,778,N,True
0,reel38__8,reel26__2,778,N,True
0,reel38__8,reel17__7,778,N,True
0,reel38__9,reel16__8,779,N,True
0,reel38__9,133,779,N,True
1,bot6__6,63,761,N,False
1,bot6__6,274,761,N,False
1,bot6__6,75,761,N,False
1,bot3__0,169,762,N,False
1,bot3__0,bot4__6,762,N,False
1,bot3__0,bot14__9,762,N,False
1,bot31__7,reel9__3,763,N,False
1,reel23__6,310,764,N,False
1,reel23__6,185,764,N,False
1,bot28__9,291,764,N,False
1,238,239,764,N,False
1,238,222,764,N,False
1,238,82,764,N,False
1,238,172,764,N,False
1,238,199,764,N,False
1,238,211,764,N,False
1,238,324,764,N,False
1,238,261,764,N,False
1,238,325,764,N,False
1,238,98,764,N,False
1,238,271,764,N,False
1,238,313,764,N,False
1,238,252,764,N,False
1,238,reel11__4,764,N,False
1,238,reel25__2,764,N,False
1,238,bot27__3,764,N,False
1,238,bot31__7,764,N,False
1,bot22__1,104,765,N,False
1,bot22__1,110,765,N,False
1,bot22__1,bot31__0,765,N,False
1,bot22__1,bot32__9,765,N,False
1,reel35__0,17,765,N,False
1,reel35__0,reel19__0,765,N,False
1,bot25__5,81,766,N,False
1,bot12__1,149,766,N,False
1,bot12__1,bot9__1,766,N,False
1,reel9__6,reel8__3,768,N,False
1,reel9__6,188,768,N,False
1,reel9__6,14,768,N,False
1,reel9__6,bot24__6,768,N,False
1,reel9__6,bot33__3,768,N,False
1,reel27__8,306,768,N,False
1,reel27__8,reel5__9,768,N,False
1,reel27__8,bot30__2,768,N,False
1,reel27__8,bot33__1,768,N,False
1,263,102,769,N,False
1,263,reel7__9,769,N,False
1,263,reel23__5,769,N,False
1,reel28__1,reel4__0,769,N,False
1,reel28__1,46,769,N,False
1,reel28__1,157,769,N,False
1,reel28__1,reel31__6,769,N,False
1,reel30__0,reel17__4,769,N,False
1,reel30__0,reel4__9,769,N,False
1,reel30__0,reel36__2,769,N,False
1,247,120,770,N,True
1,247,29,770,N,True
1,247,bot23__4,770,N,True
1,reel30__6,220,771,N,True
1,reel30__6,205,771,N,True
1,reel9__6,reel8__3,771,N,True
1,reel9__6,188,771,N,True
1,reel9__6,14,771,N,True
1,reel9__6,bot24__6,771,N,True
1,reel9__6,reel25__0,771,N,True
1,reel9__6,bot33__3,771,N,True
1,reel9__6,bot38__8,771,N,True
1,reel34__8,154,771,N,True
1,reel34__8,149,771,N,True
1,reel34__8,reel6__9,771,N,True
1,185,271,772,N,True
1,185,56,772,N,True
1,185,297,772,N,True
1,185,344,772,N,True
1,185,290,772,N,True
1,185,55,772,N,True
1,185,315,772,N,True
1,185,119,772,N,True
1,185,274,772,N,True
1,185,322,772,N,True
1,185,22,772,N,True
1,185,280,772,N,True
1,185,285,772,N,True
1,185,25,772,N,True
1,185,170,772,N,True
1,185,67,772,N,True
1,185,200,772,N,True
1,185,26,772,N,True
1,185,79,772,N,True
1,185,bot5__5,772,N,True
1,185,bot5__6,772,N,True
1,185,reel12__2,772,N,True
1,185,reel23__6,772,N,True
1,reel8__0,194,772,N,True
1,reel8__0,bot11__0,772,N,True
1,reel8__0,bot26__4,772,N,True
1,reel8__0,reel36__3,772,N,True
1,27,329,773,N,True
1,27,324,773,N,True
1,27,bot6__3,773,N,True
1,27,bot9__7,773,N,True
1,27,reel10__5,773,N,True
1,27,bot29__3,773,N,True
1,27,bot31__3,773,N,True
1,27,bot36__2,773,N,True
1,reel29__9,306,773,N,True
1,reel20__3,188,774,N,True
1,reel20__3,158,774,N,True
1,132,56,775,N,True
1,132,45,775,N,True
1,132,303,775,N,True
1,132,311,775,N,True
1,132,242,775,N,True
1,132,40,775,N,True
1,132,72,775,N,True
1,132,0,775,N,True
1,132,reel16__5,775,N,True
1,132,reel24__5,775,N,True
1,reel3__7,85,775,N,True
1,reel3__7,166,775,N,True
1,reel3__7,265,775,N,True
1,reel3__7,bot13__3,775,N,True
1,reel3__7,bot30__5,775,N,True
1,reel3__7,reel34__2,775,N,True
1,307,40,776,N,True
1,307,0,776,N,True
1,307,bot0__4,776,N,True
1,307,bot2__9,776,N,True
1,307,bot6__7,776,N,True
1,307,reel10__4,776,N,True
1,307,bot16__2,776,N,True
1,307,reel19__3,776,N,True
1,307,bot36__7,776,N,True
1,reel34__4,reel33__4,777,N,True
1,reel34__4,reel25__0,777,N,True
1,128,9,777,N,True
1,291,9,777,N,True
1,128,56,777,N,True
1,291,56,777,N,True
1,128,150,777,N,True
1,128,265,777,N,True
1,128,322,777,N,True
1,128,26,777,N,True
1,291,26,777,N,True
1,128,170,777,N,True
1,128,211,777,N,True
1,128,199,777,N,True
1,291,199,777,N,True
1,128,98,777,N,True
1,291,98,777,N,True
1,128,315,777,N,True
1,291,315,777,N,True
1,128,119,777,N,True
1,128,186,777,N,True
1,128,67,777,N,True
1,128,334,777,N,True
1,128,172,777,N,True
1,128,223,777,N,True
1,128,203,777,N,True
1,128,0,777,N,True
1,291,0,777,N,True
1,128,reel4__6,777,N,True
1,128,reel8__9,777,N,True
1,291,329,777,N,True
1,291,280,777,N,True
1,291,25,777,N,True
1,291,224,777,N,True
1,291,272,777,N,True
1,291,258,777,N,True
1,291,7,777,N,True
1,291,60,777,N,True
1,291,158,777,N,True
1,291,232,777,N,True
1,291,113,777,N,True
1,291,reel7__9,777,N,True
1,291,bot21__6,777,N,True
1,291,bot28__9,777,N,True
1,reel26__2,reel16__3,778,N,True
1,reel26__2,reel19__6,778,N,True
1,reel26__2,bot27__7,778,N,True
1,reel26__2,reel32__4,778,N,True
1,240,222,778,N,True
1,240,0,778,N,True
1,240,reel7__6,778,N,True
1,240,bot13__1,778,N,True
1,240,reel29__8,778,N,True
1,reel17__7,reel9__7,778,N,True
1,reel17__7,reel10__5,778,N,True
1,reel17__7,reel32__8,778,N,True
1,133,62,779,N,True
1,133,188,779,N,True
1,133,271,779,N,True
1,133,96,779,N,True
1,133,40,779,N,True
1,133,1,779,N,True
1,133,141,779,N,True
1,133,315,779,N,True
1,133,236,779,N,True
1,133,183,779,N,True
1,133,224,779,N,True
1,133,280,779,N,True
1,133,0,779,N,True
1,133,reel3__2,779,N,True
1,133,reel4__3,779,N,True
1,133,bot6__1,779,N,True
1,reel16__8,reel2__7,779,N,True
1,reel16__8,131,779,N,True
1,reel16__8,reel6__5,779,N,True
2,274,170,761,N,False
2,75,170,761,N,False
2,274,341,761,N,False
2,274,185,761,N,False
2,274,323,761,N,False
2,75,323,761,N,False
2,274,3,761,N,False
2,274,bot0__0,761,N,False
2,63,313,761,N,False
2,63,261,761,N,False
2,63,56,761,N,False
2,75,56,761,N,False
2,63,271,761,N,False
2,63,bot3__0,761,N,False
2,63,bot7__2,761,N,False
2,63,bot15__3,761,N,False
2,75,9,761,N,False
2,75,67,761,N,False
2,75,304,761,N,False
2,75,272,761,N,False
2,75,258,761,N,False
2,75,reel31__0,761,N,False
2,75,reel31__6,761,N,False
2,169,271,762,N,False
2,169,236,762,N,False
2,169,248,762,N,False
2,169,56,762,N,False
2,169,334,762,N,False
2,169,315,762,N,False
2,169,239,762,N,False
2,169,125,762,N,False
2,169,104,762,N,False
2,169,165,762,N,False
2,169,142,762,N,False
2,169,9,762,N,False
2,169,113,762,N,False
2,169,67,762,N,False
2,169,322,762,N,False
2,169,reel8__8,762,N,False
2,bot14__9,reel9__4,762,N,False
2,bot14__9,bot17__6,762,N,False
2,reel9__3,bot32__5,763,N,False
2,310,111,764,N,False
2,310,93,764,N,False
2,310,14,764,N,False
2,310,reel5__2,764,N,False
2,239,344,764,N,False
2,185,344,764,N,False
2,271,276,764,N,False
2,239,276,764,N,False
2,98,276,764,N,False
2,239,212,764,N,False
2,172,212,764,N,False
2,199,212,764,N,False
2,271,212,764,N,False
2,252,212,764,N,False
2,271,323,764,N,False
2,239,323,764,N,False
2,239,232,764,N,False
2,172,232,764,N,False
2,199,232,764,N,False
2,291,232,764,N,False
2,271,232,764,N,False
2,239,122,764,N,False
2,325,122,764,N,False
2,261,122,764,N,False
2,271,122,764,N,False
2,98,122,764,N,False
2,252,122,764,N,False
2,261,55,764,N,False
2,239,55,764,N,False
2,185,55,764,N,False
2,252,55,764,N,False
2,239,67,764,N,False
2,324,67,764,N,False
2,325,67,764,N,False
2,82,67,764,N,False
2,313,67,764,N,False
2,261,67,764,N,False
2,199,67,764,N,False
2,185,67,764,N,False
2,271,67,764,N,False
2,98,67,764,N,False
2,252,67,764,N,False
2,239,169,764,N,False
2,82,169,764,N,False
2,185,169,764,N,False
2,291,169,764,N,False
2,271,169,764,N,False
2,252,169,764,N,False
2,239,186,764,N,False
2,325,186,764,N,False
2,199,186,764,N,False
2,271,186,764,N,False
2,222,186,764,N,False
2,98,186,764,N,False
2,252,186,764,N,False
2,239,280,764,N,False
2,185,280,764,N,False
2,291,280,764,N,False
2,271,280,764,N,False
2,98,280,764,N,False
2,252,280,764,N,False
2,239,25,764,N,False
2,325,25,764,N,False
2,199,25,764,N,False
2,185,25,764,N,False
2,291,25,764,N,False
2,271,25,764,N,False
2,98,25,764,N,False
2,252,25,764,N,False
2,239,304,764,N,False
2,324,304,764,N,False
2,325,304,764,N,False
2,172,304,764,N,False
2,211,304,764,N,False
2,199,304,764,N,False
2,271,304,764,N,False
2,98,304,764,N,False
2,252,304,764,N,False
2,239,66,764,N,False
2,252,66,764,N,False
2,239,338,764,N,False
2,252,338,764,N,False
2,239,170,764,N,False
2,82,170,764,N,False
2,313,170,764,N,False
2,211,170,764,N,False
2,185,170,764,N,False
2,271,170,764,N,False
2,98,170,764,N,False
2,252,170,764,N,False
2,239,285,764,N,False
2,313,285,764,N,False
2,261,285,764,N,False
2,211,285,764,N,False
2,185,285,764,N,False
2,271,285,764,N,False
2,98,285,764,N,False
2,252,285,764,N,False
2,271,142,764,N,False
2,239,142,764,N,False
2,252,142,764,N,False
2,82,268,764,N,False
2,172,268,764,N,False
2,325,268,764,N,False
2,211,268,764,N,False
2,261,268,764,N,False
2,271,268,764,N,False
2,291,158,764,N,False
2,325,158,764,N,False
2,82,158,764,N,False
2,325,reel30__3,764,N,False
2,reel25__2,reel0__8,764,N,False
2,reel25__2,reel3__8,764,N,False
2,222,bot5__7,764,N,False
2,222,reel37__3,764,N,False
2,313,146,764,N,False
2,313,339,764,N,False
2,291,339,764,N,False
2,313,84,764,N,False
2,82,84,764,N,False
2,313,bot1__7,764,N,False
2,313,reel3__0,764,N,False
2,199,288,764,N,False
2,271,48,764,N,False
2,199,48,764,N,False
2,199,bot2__0,764,N,False
2,199,reel12__9,764,N,False
2,199,bot14__9,764,N,False
2,199,reel14__6,764,N,False
2,bot27__3,bot1__6,764,N,False
2,82,bot1__6,764,N,False
2,172,329,764,N,False
2,324,329,764,N,False
2,291,329,764,N,False
2,271,224,764,N,False
2,261,224,764,N,False
2,324,224,764,N,False
2,291,224,764,N,False
2,324,332,764,N,False
2,172,332,764,N,False
2,291,332,764,N,False
2,271,332,764,N,False
2,98,332,764,N,False
2,252,332,764,N,False
2,291,31,764,N,False
2,252,31,764,N,False
2,291,7,764,N,False
2,291,bot25__2,764,N,False
2,324,22,764,N,False
2,185,22,764,N,False
2,324,297,764,N,False
2,261,297,764,N,False
2,185,297,764,N,False
2,271,297,764,N,False
2,252,297,764,N,False
2,324,27,764,N,False
2,324,reel1__9,764,N,False
2,324,bot4__3,764,N,False
2,324,reel7__1,764,N,False
2,324,bot11__2,764,N,False
2,261,16,764,N,False
2,172,16,764,N,False
2,82,16,764,N,False
2,271,318,764,N,False
2,261,318,764,N,False
2,82,318,764,N,False
2,261,345,764,N,False
2,252,345,764,N,False
2,261,bot7__7,764,N,False
2,261,reel8__2,764,N,False
2,261,bot10__9,764,N,False
2,261,reel32__6,764,N,False
2,271,290,764,N,False
2,185,290,764,N,False
2,271,79,764,N,False
2,185,79,764,N,False
2,252,79,764,N,False
2,185,reel23__0,764,N,False
2,271,reel8__7,764,N,False
2,82,bot2__3,764,N,False
2,82,bot7__6,764,N,False
2,211,bot34__5,764,N,False
2,82,bot34__5,764,N,False
2,172,308,764,N,False
2,252,308,764,N,False
2,172,bot5__4,764,N,False
2,172,bot11__6,764,N,False
2,172,bot13__1,764,N,False
2,211,bot8__5,764,N,False
2,reel11__4,296,764,N,False
2,reel11__4,bot28__1,764,N,False
2,bot31__7,reel9__3,764,N,False
2,bot31__7,bot38__3,764,N,False
2,252,250,764,N,False
2,110,264,765,N,False
2,110,8,765,N,False
2,17,0,765,N,False
2,110,0,765,N,False
2,104,0,765,N,False
2,17,bot7__3,765,N,False
2,110,bot7__3,765,N,False
2,110,bot7__6,765,N,False
2,110,reel12__4,765,N,False
2,110,reel31__0,765,N,False
2,104,56,765,N,False
2,104,332,765,N,False
2,104,325,765,N,False
2,104,303,765,N,False
2,104,322,765,N,False
2,104,67,765,N,False
2,104,45,765,N,False
2,104,98,765,N,False
2,104,344,765,N,False
2,104,186,765,N,False
2,104,200,765,N,False
2,104,122,765,N,False
2,104,109,765,N,False
2,104,21,765,N,False
2,104,252,765,N,False
2,104,271,765,N,False
2,104,212,765,N,False
2,104,239,765,N,False
2,104,reel0__5,765,N,False
2,104,reel27__6,765,N,False
2,104,reel29__7,765,N,False
2,17,310,765,N,False
2,17,116,765,N,False
2,17,144,765,N,False
2,17,41,765,N,False
2,17,19,765,N,False
2,17,214,765,N,False
2,17,115,765,N,False
2,17,reel28__6,765,N,False
2,reel19__0,33,765,N,False
2,reel19__0,167,765,N,False
2,reel19__0,bot24__1,765,N,False
2,bot32__9,97,765,N,False
2,149,20,766,N,False
2,149,162,766,N,False
2,149,226,766,N,False
2,149,115,766,N,False
2,149,116,766,N,False
2,149,2,766,N,False
2,149,28,766,N,False
2,81,269,766,N,False
2,81,reel11__2,766,N,False
2,bot9__1,reel0__5,766,N,False
2,306,328,768,N,False
2,306,195,768,N,False
2,306,4,768,N,False
2,306,78,768,N,False
2,306,273,768,N,False
2,306,181,768,N,False
2,306,bot8__1,768,N,False
2,306,reel21__4,768,N,False
2,306,reel29__9,768,N,False
2,reel5__9,30,768,N,False
2,188,30,768,N,False
2,188,133,768,N,False
2,188,274,768,N,False
2,188,104,768,N,False
2,188,304,768,N,False
2,188,280,768,N,False
2,188,170,768,N,False
2,188,67,768,N,False
2,188,3,768,N,False
2,188,208,768,N,False
2,188,297,768,N,False
2,188,239,768,N,False
2,188,26,768,N,False
2,188,342,768,N,False
2,bot24__6,342,768,N,False
2,bot33__1,9,768,N,False
2,188,9,768,N,False
2,188,186,768,N,False
2,188,79,768,N,False
2,188,334,768,N,False
2,188,122,768,N,False
2,188,142,768,N,False
2,188,224,768,N,False
2,188,113,768,N,False
2,188,185,768,N,False
2,188,bot2__0,768,N,False
2,188,bot3__1,768,N,False
2,188,bot7__0,768,N,False
2,188,reel9__8,768,N,False
2,188,reel17__9,768,N,False
2,188,bot29__6,768,N,False
2,188,reel29__3,768,N,False
2,bot30__2,reel16__0,768,N,False
2,bot30__2,bot12__7,768,N,False
2,14,20,768,N,False
2,14,116,768,N,False
2,14,144,768,N,False
2,14,115,768,N,False
2,14,226,768,N,False
2,14,151,768,N,False
2,14,41,768,N,False
2,14,214,768,N,False
2,14,149,768,N,False
2,14,310,768,N,False
2,reel4__0,321,769,N,False
2,reel4__0,reel7__3,769,N,False
2,reel4__0,reel15__7,769,N,False
