iteration,true_shared,false_shared,true_exposed,false_exposed
0,20,16,30,30
1,97,98,138,175
2,1123,884,2341,2465
3,3544,1611,8431,4783
4,3290,1121,8144,3282
5,689,360,1806,924
6,39,87,69,230
7,1,28,4,63
8,0,5,0,13
9,0,2,0,6
10,0,0,0,2
11,0,0,0,0
