iteration,sender,receiver,news_id,news_party,news_veracity
0,bot24__0,reel7__8,480,N,False
0,bot24__1,113,481,N,False
0,bot24__1,reel13__4,481,N,False
0,bot24__2,329,482,N,False
0,bot24__4,271,484,N,False
0,bot24__5,227,485,N,False
0,bot24__6,47,486,N,False
0,bot24__7,bot21__3,487,N,False
0,bot24__8,bot13__2,488,N,False
0,reel24__0,236,490,N,True
0,reel24__0,reel5__8,490,N,True
0,reel24__0,233,490,N,True
0,reel24__1,reel0__7,491,N,True
0,reel24__1,reel23__5,491,N,True
0,reel24__1,177,491,N,True
0,reel24__2,reel23__4,492,N,True
0,reel24__3,reel14__9,493,N,True
0,reel24__3,251,493,N,True
0,reel24__3,192,493,N,True
0,reel24__4,225,494,N,True
0,reel24__4,304,494,N,True
0,reel24__5,reel18__6,495,N,True
0,reel24__5,24,495,N,True
0,reel24__5,reel6__0,495,N,True
0,reel24__6,247,496,N,True
0,reel24__6,160,496,N,True
0,reel24__6,289,496,N,True
0,reel24__7,reel8__9,497,N,True
0,reel24__7,225,497,N,True
0,reel24__8,282,498,N,True
0,reel24__8,reel15__2,498,N,True
0,reel24__9,reel6__8,499,N,True
0,reel24__9,reel20__0,499,N,True
0,reel24__9,129,499,N,True
1,reel7__8,168,480,N,False
1,reel13__4,reel11__5,481,N,False
1,reel13__4,reel17__3,481,N,False
1,113,261,481,N,False
1,113,104,481,N,False
1,113,66,481,N,False
1,113,252,481,N,False
1,113,334,481,N,False
1,113,119,481,N,False
1,113,72,481,N,False
1,113,50,481,N,False
1,113,148,481,N,False
1,113,271,481,N,False
1,113,199,481,N,False
1,113,25,481,N,False
1,113,325,481,N,False
1,113,277,481,N,False
1,113,239,481,N,False
1,113,203,481,N,False
1,113,121,481,N,False
1,113,169,481,N,False
1,113,134,481,N,False
1,113,56,481,N,False
1,329,269,482,N,False
1,329,119,482,N,False
1,329,272,482,N,False
1,329,150,482,N,False
1,329,197,482,N,False
1,329,54,482,N,False
1,329,106,482,N,False
1,329,40,482,N,False
1,329,16,482,N,False
1,329,27,482,N,False
1,329,308,482,N,False
1,329,202,482,N,False
1,329,320,482,N,False
1,329,172,482,N,False
1,329,178,482,N,False
1,329,284,482,N,False
1,329,280,482,N,False
1,329,72,482,N,False
1,329,231,482,N,False
1,329,0,482,N,False
1,329,bot4__0,482,N,False
1,329,reel11__5,482,N,False
1,271,82,484,N,False
1,271,252,484,N,False
1,271,188,484,N,False
1,271,30,484,N,False
1,271,232,484,N,False
1,271,285,484,N,False
1,271,133,484,N,False
1,271,79,484,N,False
1,271,172,484,N,False
1,271,25,484,N,False
1,271,113,484,N,False
1,271,223,484,N,False
1,271,128,484,N,False
1,271,85,484,N,False
1,271,272,484,N,False
1,271,170,484,N,False
1,271,67,484,N,False
1,271,199,484,N,False
1,271,298,484,N,False
1,271,239,484,N,False
1,271,211,484,N,False
1,271,109,484,N,False
1,271,224,484,N,False
1,271,315,484,N,False
1,271,314,484,N,False
1,271,148,484,N,False
1,271,291,484,N,False
1,271,104,484,N,False
1,271,238,484,N,False
1,271,212,484,N,False
1,271,72,484,N,False
1,271,186,484,N,False
1,271,56,484,N,False
1,271,63,484,N,False
1,271,0,484,N,False
1,271,reel5__1,484,N,False
1,271,bot15__5,484,N,False
1,271,bot16__9,484,N,False
1,227,23,485,N,False
1,227,225,485,N,False
1,227,143,485,N,False
1,227,86,485,N,False
1,227,102,485,N,False
1,227,0,485,N,False
1,227,bot13__9,485,N,False
1,bot21__3,reel1__1,487,N,False
1,bot13__2,92,488,N,False
1,bot13__2,bot18__0,488,N,False
1,233,256,490,N,True
1,236,0,490,N,True
1,233,0,490,N,True
1,233,reel2__8,490,N,True
1,233,reel3__4,490,N,True
1,233,bot7__2,490,N,True
1,236,186,490,N,True
1,236,62,490,N,True
1,236,142,490,N,True
1,236,252,490,N,True
1,236,169,490,N,True
1,236,280,490,N,True
1,236,303,490,N,True
1,236,105,490,N,True
1,236,272,490,N,True
1,236,13,490,N,True
1,236,69,490,N,True
1,236,133,490,N,True
1,236,30,490,N,True
1,236,121,490,N,True
1,236,304,490,N,True
1,236,122,490,N,True
1,236,224,490,N,True
1,236,314,490,N,True
1,236,213,490,N,True
1,236,322,490,N,True
1,236,141,490,N,True
1,236,25,490,N,True
1,236,1,490,N,True
1,236,200,490,N,True
1,236,248,490,N,True
1,236,reel17__9,490,N,True
1,236,bot22__9,490,N,True
1,reel5__8,219,490,N,True
1,reel5__8,189,490,N,True
1,reel5__8,reel8__5,490,N,True
1,reel0__7,175,491,N,True
1,177,175,491,N,True
1,reel0__7,270,491,N,True
1,reel0__7,255,491,N,True
1,reel0__7,bot9__1,491,N,True
1,177,46,491,N,True
1,177,68,491,N,True
1,177,227,491,N,True
1,177,278,491,N,True
1,177,86,491,N,True
1,177,reel3__3,491,N,True
1,177,reel6__1,491,N,True
1,177,reel12__5,491,N,True
1,177,reel20__9,491,N,True
1,177,reel21__4,491,N,True
