iteration,true_shared,false_shared,true_exposed,false_exposed
0,21,10,30,30
1,149,52,186,99
2,1524,462,2642,1446
3,4932,1296,10468,3418
4,5191,1653,12273,4970
5,2110,1361,5333,3668
6,382,580,898,1658
7,33,148,48,395
8,1,37,1,72
9,0,8,0,19
10,0,1,0,2
11,0,1,0,1
12,0,0,0,0
13,0,0,0,0
