iteration,true_shared,false_shared,true_exposed,false_exposed
0,24,17,30,30
1,253,103,432,216
2,2142,753,5965,2884
3,725,932,2029,3275
4,80,327,153,1194
5,24,92,67,334
6,9,33,11,88
7,2,9,4,18
8,0,0,0,4
9,0,0,0,0
