iteration,true_shared,false_shared,true_exposed,false_exposed
0,21,11,30,30
1,121,34,178,71
2,1030,283,2111,594
3,3925,1355,9438,4072
4,5811,2272,13757,6128
5,3114,1330,7612,3664
6,695,335,1834,891
7,46,70,87,148
8,1,10,1,22
9,0,3,0,4
10,0,1,0,1
11,0,1,0,1
12,0,0,0,0
13,0,0,0,0
