iteration,true_shared,false_shared,true_exposed,false_exposed
0,25,20,30,30
1,183,104,274,210
2,2090,881,4551,2789
3,3529,1684,8055,5253
4,1654,1388,4811,4274
5,702,547,1681,1515
6,112,165,277,410
7,5,40,9,99
8,0,11,0,20
9,0,1,0,2
10,0,0,0,0
11,0,0,0,0
