iteration,true_shared,false_shared,true_exposed,false_exposed
0,18,13,30,30
1,90,49,128,100
2,937,386,1988,878
3,3212,1549,8610,4804
4,3267,1947,7771,5633
5,790,917,2088,2679
6,44,270,81,666
7,0,67,0,130
8,0,15,0,28
9,0,2,0,8
10,0,0,0,0
11,0,0,0,0
