iteration,sender,receiver,news_id,news_party,news_veracity
0,bot95__0,bot16__5,1900,N,False
0,bot95__0,reel75__0,1900,N,False
0,bot95__1,reel74__5,1901,N,False
0,bot95__1,reel61__4,1901,N,False
0,bot95__1,reel36__3,1901,N,False
0,bot95__2,reel17__0,1902,N,False
0,bot95__2,bot57__4,1902,N,False
0,bot95__3,bot11__9,1903,N,False
0,bot95__4,bot24__2,1904,N,False
0,bot95__4,reel86__7,1904,N,False
0,bot95__5,reel87__9,1905,N,False
0,bot95__5,bot58__0,1905,N,False
0,bot95__7,reel52__1,1907,N,False
0,bot95__7,bot35__8,1907,N,False
0,bot95__8,bot73__3,1908,N,False
0,bot95__9,reel25__9,1909,N,False
0,bot95__9,reel45__4,1909,N,False
0,bot95__9,bot11__5,1909,N,False
0,reel95__0,reel82__5,1910,N,True
0,reel95__0,reel58__9,1910,N,True
0,reel95__1,reel49__0,1911,N,True
0,reel95__2,reel23__1,1912,N,True
0,reel95__2,186,1912,N,True
0,reel95__2,reel77__2,1912,N,True
0,reel95__3,reel62__5,1913,N,True
0,reel95__4,reel65__7,1914,N,True
0,reel95__4,reel62__8,1914,N,True
0,reel95__4,31,1914,N,True
0,reel95__5,reel89__8,1915,N,True
0,reel95__5,reel10__7,1915,N,True
0,reel95__5,1,1915,N,True
0,reel95__6,reel85__0,1916,N,True
0,reel95__6,reel71__3,1916,N,True
0,reel95__6,reel94__3,1916,N,True
0,reel95__7,reel61__7,1917,N,True
0,reel95__7,42,1917,N,True
0,reel95__8,reel82__1,1918,N,True
0,reel95__8,reel51__4,1918,N,True
0,reel95__9,reel78__4,1919,N,True
0,reel95__9,reel56__0,1919,N,True
1,reel75__0,reel37__2,1900,N,False
1,bot16__5,bot13__0,1900,N,False
1,reel61__4,reel45__8,1901,N,False
1,reel61__4,reel43__4,1901,N,False
1,reel74__5,51,1901,N,False
1,reel74__5,reel23__8,1901,N,False
1,reel36__3,reel26__1,1901,N,False
1,reel36__3,reel6__9,1901,N,False
1,reel36__3,reel35__9,1901,N,False
1,reel36__3,reel42__3,1901,N,False
1,bot57__4,bot24__2,1902,N,False
1,bot57__4,reel23__7,1902,N,False
1,bot57__4,reel19__6,1902,N,False
1,bot57__4,bot90__6,1902,N,False
1,reel17__0,reel11__5,1902,N,False
1,bot11__9,126,1903,N,False
1,bot11__9,bot3__2,1903,N,False
1,bot24__2,34,1904,N,False
1,bot24__2,323,1904,N,False
1,bot24__2,bot57__4,1904,N,False
1,bot58__0,bot42__8,1905,N,False
1,bot58__0,bot29__9,1905,N,False
1,reel52__1,reel13__0,1907,N,False
1,reel52__1,reel91__6,1907,N,False
1,reel52__1,reel94__3,1907,N,False
1,bot35__8,bot16__5,1907,N,False
1,bot35__8,reel34__0,1907,N,False
1,reel45__4,reel21__2,1909,N,False
1,reel45__4,reel76__1,1909,N,False
1,reel45__4,reel79__5,1909,N,False
1,reel25__9,92,1909,N,False
1,reel25__9,reel64__1,1909,N,False
1,reel25__9,bot88__6,1909,N,False
1,reel25__9,reel91__0,1909,N,False
1,bot11__5,bot38__2,1909,N,False
1,reel58__9,reel12__4,1910,N,True
1,reel58__9,reel25__7,1910,N,True
1,reel58__9,reel85__1,1910,N,True
1,reel82__5,reel57__0,1910,N,True
1,reel82__5,reel8__1,1910,N,True
1,reel49__0,reel20__0,1911,N,True
1,reel49__0,reel30__3,1911,N,True
1,reel49__0,reel53__4,1911,N,True
1,reel49__0,reel85__2,1911,N,True
1,186,236,1912,N,True
1,186,341,1912,N,True
1,186,272,1912,N,True
1,186,25,1912,N,True
1,186,199,1912,N,True
1,186,223,1912,N,True
1,186,178,1912,N,True
1,186,345,1912,N,True
1,186,9,1912,N,True
1,186,277,1912,N,True
1,186,325,1912,N,True
1,186,67,1912,N,True
1,186,59,1912,N,True
1,186,203,1912,N,True
1,186,45,1912,N,True
1,186,62,1912,N,True
1,186,285,1912,N,True
1,186,200,1912,N,True
1,186,21,1912,N,True
1,186,128,1912,N,True
1,186,221,1912,N,True
1,186,252,1912,N,True
1,186,239,1912,N,True
1,186,322,1912,N,True
1,186,188,1912,N,True
1,186,323,1912,N,True
1,186,142,1912,N,True
1,186,222,1912,N,True
1,186,56,1912,N,True
1,186,26,1912,N,True
1,186,331,1912,N,True
1,186,303,1912,N,True
1,186,122,1912,N,True
1,186,113,1912,N,True
1,186,271,1912,N,True
1,186,0,1912,N,True
1,186,bot0__4,1912,N,True
1,186,reel7__1,1912,N,True
1,186,reel13__5,1912,N,True
1,186,bot77__2,1912,N,True
1,186,reel77__3,1912,N,True
1,reel23__1,184,1912,N,True
1,reel23__1,30,1912,N,True
1,reel23__1,315,1912,N,True
1,reel23__1,bot29__9,1912,N,True
1,reel23__1,reel31__4,1912,N,True
1,reel23__1,reel41__5,1912,N,True
1,reel23__1,bot56__4,1912,N,True
1,reel23__1,reel70__4,1912,N,True
1,reel23__1,bot82__8,1912,N,True
1,reel77__2,243,1912,N,True
1,reel77__2,reel1__1,1912,N,True
1,reel62__5,reel60__9,1913,N,True
1,reel62__5,reel33__5,1913,N,True
1,reel62__5,reel13__1,1913,N,True
1,reel62__8,reel6__4,1914,N,True
1,reel65__7,reel39__7,1914,N,True
1,reel62__8,reel39__7,1914,N,True
1,reel62__8,243,1914,N,True
1,reel62__8,bot68__2,1914,N,True
1,31,308,1914,N,True
1,31,277,1914,N,True
1,31,237,1914,N,True
1,31,168,1914,N,True
1,31,51,1914,N,True
1,31,291,1914,N,True
1,31,339,1914,N,True
1,31,83,1914,N,True
1,31,338,1914,N,True
1,31,129,1914,N,True
1,31,21,1914,N,True
1,31,67,1914,N,True
1,31,304,1914,N,True
1,31,84,1914,N,True
1,31,bot9__8,1914,N,True
1,31,bot12__0,1914,N,True
1,31,reel23__4,1914,N,True
1,31,bot49__9,1914,N,True
1,31,reel52__4,1914,N,True
1,31,reel72__5,1914,N,True
1,reel65__7,89,1914,N,True
1,reel65__7,273,1914,N,True
1,reel10__7,235,1915,N,True
1,reel10__7,291,1915,N,True
1,reel10__7,26,1915,N,True
1,reel10__7,bot26__4,1915,N,True
1,reel10__7,reel35__0,1915,N,True
1,reel10__7,bot40__3,1915,N,True
1,reel10__7,reel50__7,1915,N,True
1,reel89__8,reel74__3,1915,N,True
1,reel89__8,reel33__4,1915,N,True
1,reel89__8,reel39__3,1915,N,True
1,1,92,1915,N,True
1,1,73,1915,N,True
1,1,322,1915,N,True
1,1,48,1915,N,True
1,1,299,1915,N,True
1,1,54,1915,N,True
1,1,88,1915,N,True
1,1,236,1915,N,True
1,1,0,1915,N,True
1,1,bot2__5,1915,N,True
1,1,reel2__3,1915,N,True
1,1,bot4__9,1915,N,True
1,1,bot6__1,1915,N,True
1,1,reel11__1,1915,N,True
1,1,bot18__5,1915,N,True
1,reel71__3,reel29__5,1916,N,True
1,reel71__3,reel92__9,1916,N,True
1,reel94__3,reel54__1,1916,N,True
1,reel85__0,reel53__3,1916,N,True
1,reel85__0,46,1916,N,True
1,reel85__0,reel7__4,1916,N,True
1,reel85__0,reel91__7,1916,N,True
1,reel61__7,177,1917,N,True
1,reel61__7,reel25__7,1917,N,True
1,42,33,1917,N,True
1,42,0,1917,N,True
1,42,reel0__8,1917,N,True
1,42,reel1__8,1917,N,True
1,42,bot2__1,1917,N,True
1,42,bot8__1,1917,N,True
1,42,reel21__9,1917,N,True
1,42,bot87__9,1917,N,True
1,reel51__4,reel6__4,1918,N,True
1,reel51__4,142,1918,N,True
1,reel51__4,bot80__8,1918,N,True
1,reel56__0,45,1919,N,True
1,reel56__0,reel38__8,1919,N,True
1,reel56__0,reel9__4,1919,N,True
1,reel56__0,bot72__1,1919,N,True
1,reel56__0,bot92__6,1919,N,True
1,reel78__4,reel67__2,1919,N,True
1,reel78__4,311,1919,N,True
2,bot13__0,bot12__0,1900,N,False
2,bot13__0,bot59__8,1900,N,False
2,reel37__2,175,1900,N,False
2,reel37__2,227,1900,N,False
2,reel35__9,176,1901,N,False
2,reel35__9,reel11__6,1901,N,False
2,reel35__9,bot41__1,1901,N,False
2,reel35__9,reel45__7,1901,N,False
2,reel35__9,bot85__1,1901,N,False
2,reel6__9,252,1901,N,False
2,reel6__9,reel9__5,1901,N,False
2,reel6__9,bot21__7,1901,N,False
2,reel6__9,bot34__5,1901,N,False
2,51,31,1901,N,False
2,51,237,1901,N,False
2,51,83,1901,N,False
2,51,25,1901,N,False
2,51,bot3__1,1901,N,False
2,51,bot8__9,1901,N,False
2,51,bot26__0,1901,N,False
2,51,reel32__8,1901,N,False
2,51,bot74__3,1901,N,False
2,reel42__3,reel20__9,1901,N,False
2,reel42__3,bot43__9,1901,N,False
2,reel45__8,reel94__8,1901,N,False
2,reel26__1,reel23__7,1901,N,False
2,reel26__1,reel11__1,1901,N,False
2,reel26__1,reel47__3,1901,N,False
2,reel26__1,reel86__3,1901,N,False
2,reel23__8,249,1901,N,False
2,reel23__8,163,1901,N,False
2,reel23__8,reel13__9,1901,N,False
2,reel23__8,reel37__0,1901,N,False
2,reel43__4,reel15__4,1901,N,False
2,bot90__6,254,1902,N,False
2,bot90__6,reel28__4,1902,N,False
2,reel19__6,130,1902,N,False
2,reel19__6,reel11__3,1902,N,False
2,bot24__2,bot95__4,1902,N,False
2,reel11__5,87,1902,N,False
2,reel11__5,248,1902,N,False
2,reel11__5,bot54__6,1902,N,False
2,reel23__7,13,1902,N,False
2,reel23__7,81,1902,N,False
